-100.000000 0
-98.500000 0
-97.000000 0
-95.500000 0
-94.000000 0
-92.500000 0
-91.000000 0
-89.500000 0
-88.000000 0
-86.500000 0
-85.000000 0
-83.500000 0
-82.000000 0
-80.500000 0
-79.000000 0
-77.500000 0
-76.000000 0
-74.500000 0
-73.000000 0
-71.500000 0
-70.000000 0
-68.500000 0
-67.000000 0
-65.500000 0
-64.000000 0
-62.500000 0
-61.000000 0
-59.500000 0
-58.000000 0
-56.500000 0
-55.000000 0
-53.500000 0
-52.000000 0
-50.500000 0
-49.000000 0
-47.500000 0
-46.000000 0
-44.500000 0
-43.000000 0
-41.500000 0
-40.000000 0
-38.500000 2.69782981614e-12
-37.000000 1.93729797009e-11
-35.500000 7.93174664095e-11
-34.000000 1.90968451172e-10
-32.500000 3.13057553983e-10
-31.000000 5.4332787102e-10
-29.500000 1.29850156863e-09
-28.000000 2.76501866974e-09
-26.500000 4.38280842472e-09
-25.000000 5.60468900282e-09
-23.500000 6.50714369443e-09
-22.000000 7.20385218074e-09
-20.500000 7.79611983058e-09
-19.000000 8.43477670267e-09
-17.500000 9.07238999819e-09
-16.000000 9.96254471818e-09
-14.500000 1.1968973596e-08
-13.000000 1.5213957629e-08
-11.500000 1.88908137276e-08
-10.000000 2.34228700558e-08
-8.500000 2.95394853083e-08
-7.000000 3.46919873881e-08
-5.500000 3.48196697202e-08
-4.000000 3.07337930577e-08
-2.500000 2.73525735492e-08
-1.000000 2.65611695495e-08
0.500000 2.72595259614e-08
2.000000 2.90140915674e-08
3.500000 3.04409810474e-08
5.000000 2.94901632799e-08
6.500000 2.65971249381e-08
8.000000 2.33895631075e-08
9.500000 2.0599733699e-08
11.000000 1.89025008206e-08
12.500000 1.83450422912e-08
14.000000 1.7862287518e-08
15.500000 1.65804111868e-08
17.000000 1.42124517187e-08
18.500000 1.07905663914e-08
20.000000 7.31195468296e-09
21.500000 4.86838352837e-09
23.000000 3.27066182889e-09
24.500000 1.87759254667e-09
26.000000 7.75618533085e-10
27.500000 2.11332582497e-10
29.000000 3.62344160518e-11
30.500000 2.69782981614e-12
32.000000 0
33.500000 0
35.000000 0
36.500000 0
38.000000 0
39.500000 0
41.000000 0
42.500000 0
44.000000 0
45.500000 0
47.000000 0
48.500000 0
50.000000 0
51.500000 0
53.000000 0
54.500000 0
56.000000 0
57.500000 0
59.000000 0
60.500000 0
62.000000 0
63.500000 0
65.000000 0
66.500000 0
68.000000 0
69.500000 0
71.000000 0
72.500000 0
74.000000 0
75.500000 0
77.000000 0
78.500000 0
80.000000 0
81.500000 0
83.000000 0
84.500000 0
86.000000 0
87.500000 0
89.000000 0
90.500000 0
92.000000 0
93.500000 0
95.000000 0
96.500000 0
98.000000 0
99.500000 0
